Ref,Val,Package,PosX,PosY,Rot,Side
"C13","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-131.150000,-111.550000,0.000000,bottom
"C22","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-106.150000,-105.300000,180.000000,bottom
"C27","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-104.228666,-78.329000,180.000000,bottom
"C28","0.1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-104.228666,-75.789000,180.000000,bottom
"C29","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-127.561998,-75.789000,180.000000,bottom
"C30","0.1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-127.561998,-78.329000,180.000000,bottom
"C31","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-150.895330,-78.329000,180.000000,bottom
"C32","0.1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-150.895330,-75.789000,180.000000,bottom
"C33","33pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-92.691666,-66.050000,0.000000,bottom
"C34","27pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-116.024998,-66.050000,0.000000,bottom
"C35","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-139.358330,-66.050000,0.000000,bottom
"C37","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-94.342666,-86.250000,180.000000,bottom
"C38","0.1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-94.342666,-83.750000,180.000000,bottom
"C39","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-117.675998,-86.250000,180.000000,bottom
"C40","0.1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-117.675998,-83.750000,180.000000,bottom
"C41","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-141.009330,-86.250000,180.000000,bottom
