Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.538000,-78.329000,0.000000,top
"C2","0.1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.588000,-75.789000,0.000000,top
"C3","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.921332,-78.329000,0.000000,top
"C4","0.1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.921332,-75.789000,0.000000,top
"C5","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",118.256664,-78.329000,0.000000,top
"C6","0.1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",118.256664,-75.789000,0.000000,top
"C7","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",141.590000,-78.329000,0.000000,top
"C8","0.1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",141.590000,-75.789000,0.000000,top
"C9","470pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",81.025000,-66.050000,0.000000,top
"C10","220pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",104.358332,-66.050000,0.000000,top
"C11","100pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",127.693664,-66.050000,0.000000,top
"C12","47pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",151.027000,-66.050000,0.000000,top
"C14","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",81.424000,-86.250000,0.000000,top
"C15","0.1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",81.424000,-83.750000,0.000000,top
"C16","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",104.757332,-86.250000,0.000000,top
"C17","0.1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",104.757332,-83.750000,0.000000,top
"C18","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",128.092664,-86.250000,0.000000,top
"C19","0.1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",128.092664,-83.750000,0.000000,top
"C20","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",151.426000,-86.250000,0.000000,top
"C21","0.1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",151.426000,-83.750000,0.000000,top
"C23","1μF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.430000,-101.830000,180.000000,top
"C24","0.1μF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.430000,-99.515000,180.000000,top
"C25","1μF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",149.620000,-113.840000,0.000000,top
"C26","0.1μF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",149.620000,-111.490000,0.000000,top
"C36","4.7μF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",125.030000,-116.695000,90.000000,top
"C43","4.7μF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",132.480000,-116.695000,270.000000,top
"C45","1μF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.150000,-104.375000,0.000000,top
"C46","1μF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",113.550000,-105.900000,90.000000,top
"C51","0.1μF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.600000,-109.900000,180.000000,top
"C52","1μF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.600000,-112.450000,180.000000,top
"C57","10μF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",98.325000,-112.450000,0.000000,top
"D1","5.1V","D_MiniMELF",77.699000,-86.875000,90.000000,top
