Reference, Quantity, Value, Footprint, Datasheet, LCSC Part #, Mouser Part #
BT1 ,1,"3.7V","CVCO:2-2.54mm-Horizontal-Molex","~"
C1 C3 C5 C7 C27 C29 C31 C14 C16 C18 C20 C41 C39 C37 C44 C56 ,16,"1nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C1791",""
C10 ,1,"220pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C1727",""
C11 ,1,"100pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C1790",""
C12 ,1,"47pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C107118",""
C13 C22 ,2,"0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C62912",""
C2 C4 C6 C8 C28 C30 C32 C15 C17 C19 C21 C42 C40 C38 ,14,"0.1nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C159771",""
C33 ,1,"33pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C157687",""
C34 ,1,"27pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C8031",""
C35 ,1,"22pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C24658",""
C43 C36 ,2,"4.7μF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C37818",""
C51 C24 C26 C50 C48 C47 ,6,"0.1μF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C38141",""
C52 C53 C49 C23 C25 C46 C45 ,7,"1μF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C215803",""
C54 ,1,"50pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C57 C58 C55 ,3,"10μF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C40894",""
C9 ,1,"470pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C1743",""
D1 ,1,"5.1V","Diode_SMD:D_MiniMELF","~","C305343",""
D10 D12 ,2,"10V","Diode_SMD:D_MiniMELF","~","C398894",""
D11 ,1,"1N4002","Diode_SMD:D_SMA_Handsoldering","~","C433393",""
D3 D2 ,2,"18V","Diode_SMD:D_MiniMELF","~","C268731",""
D6 ,1,"16V","Diode_SMD:D_MiniMELF","~","C313481",""
D7 D5 D4 ,3,"20V","Diode_SMD:D_MiniMELF","~","C398899",""
D8 ,1,"Green","CVCO:2-2.54mm-Horizontal-Molex","~","C99763",""
D9 ,1,"Orange","CVCO:2-2.54mm-Horizontal-Molex","~","C99759",""
F1 ,1,"3A Fast","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","C163126",""
J3 J4 J5 J6 J1 J2 J7 ,7,"SMA","CVCO:SMA-Edge"," ~","C530661",""
J8 ,1,"Pickit 2","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~","C40877",""
J9 ,1,"DC","Connector_Wire:SolderWirePad_1x02_P3.81mm_Drill1mm","~"
L1 ,1,"10μH","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C1046",""
Q1 ,1,"AOD403","Package_TO_SOT_SMD:TO-252-2","https://datasheet.lcsc.com/szlcsc/1811071514_Alpha-Omega-Semicon-AOD403_C28969.pdf","C28969",""
Q2 ,1,"MBT2222","Package_TO_SOT_SMD:SOT-23","https://datasheet.lcsc.com/szlcsc/1809272022_ON-Semiconductor-MMBT2222ALT1G_C82460.pdf","C82460",""
R1 R17 R35 R9 R6 R10 R21 R27 R20 R26 R19 R25 R4 R12 R11 R7 R3 R2 ,18,"1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C17513",""
R13 R28 ,2,"220","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17557"
R14 ,1,"560","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C28636"
R16 R30 ,2,"470","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17710"
R18 R39 R23 R54 R53 ,5,"2k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C17604",""
R24 R8 ,2,"1.4k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C17388",""
R29 ,1,"270","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17590"
R31 ,1,"3M","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C17662",""
